Date,Time,,,CSZ System,TEMPERATURE PV,TEMPERATURE SP,TEMPERATURE %Out,PRODUCT PV,PRODUCT SP,PRODUCT %Out,
2/12/2024,06:02:37,,,,40.1,40.0,6.19,39.7,40.0,0.00,
2/12/2024,06:02:42,,,,40.0,40.0,1.09,39.7,40.0,0.00,
2/12/2024,06:02:48,,,,39.9,40.0,2.88,39.7,40.0,0.00,
2/12/2024,06:02:54,,,,39.9,40.0,4.33,39.7,40.0,0.00,
2/12/2024,06:03:00,,,,40.0,40.0,-0.09,39.8,40.0,0.00,
2/12/2024,06:03:06,,,,40.0,40.0,0.81,39.7,40.0,0.00,
2/12/2024,06:03:12,,,,40.0,40.0,6.18,39.7,40.0,0.00,
2/12/2024,06:03:18,,,,39.9,40.0,7.48,39.7,40.0,0.00,
2/12/2024,06:03:24,,,,40.1,40.0,-3.28,39.7,40.0,0.00,
2/12/2024,06:03:30,,,,40.0,40.0,5.38,39.7,40.0,0.00,
2/12/2024,06:03:36,,,,40.1,40.0,1.03,39.8,40.0,0.00,
2/12/2024,06:03:42,,,,40.1,40.0,1.66,39.8,40.0,0.00,
2/12/2024,06:03:48,,,,40.1,40.0,0.89,39.8,40.0,0.00,
2/12/2024,06:03:54,,,,40.2,40.0,2.10,39.8,40.0,0.00,
2/12/2024,06:04:00,,,,40.2,40.0,-2.57,39.8,40.0,0.00,
2/12/2024,06:04:06,,,,40.2,40.0,7.37,39.8,40.0,0.00,
2/12/2024,06:04:12,,,,40.2,40.0,-3.24,39.8,40.0,0.00,
2/12/2024,06:04:18,,,,40.2,40.0,-0.64,39.8,40.0,0.00,
2/12/2024,06:04:24,,,,40.2,40.0,-1.34,39.8,40.0,0.00,
2/12/2024,06:04:30,,,,40.2,40.0,-0.53,39.7,40.0,0.00,
2/12/2024,06:04:36,,,,40.1,40.0,-1.62,39.8,40.0,0.00,
2/12/2024,06:04:42,,,,40.1,40.0,1.89,39.8,40.0,0.00,
2/12/2024,06:04:48,,,,40.2,40.0,-5.29,39.8,40.0,0.00,
2/12/2024,06:04:54,,,,40.1,40.0,5.78,39.8,40.0,0.00,
2/12/2024,06:05:00,,,,40.1,40.0,1.80,39.8,40.0,0.00,
2/12/2024,06:05:06,,,,40.1,40.0,-2.47,39.7,40.0,0.00,
2/12/2024,06:05:12,,,,40.0,40.0,6.12,39.7,40.0,0.00,
2/12/2024,06:05:18,,,,39.9,40.0,4.09,39.7,40.0,0.00,
2/12/2024,06:05:24,,,,40.0,40.0,-3.97,39.8,40.0,0.00,
2/12/2024,06:05:30,,,,40.0,40.0,-2.87,39.8,40.0,0.00,
2/12/2024,06:05:36,,,,40.0,40.0,3.09,39.7,40.0,0.00,
2/12/2024,06:05:42,,,,40.1,40.0,-1.33,39.8,40.0,0.00,
2/12/2024,06:05:48,,,,40.1,40.0,-3.22,39.8,40.0,0.00,
2/12/2024,06:05:54,,,,40.1,40.0,-2.71,39.8,40.0,0.00,
2/12/2024,06:06:00,,,,40.2,40.0,1.32,39.8,40.0,0.00,
2/12/2024,06:06:06,,,,40.2,40.0,0.31,39.8,40.0,0.00,
2/12/2024,06:06:12,,,,40.1,40.0,-1.02,39.8,40.0,0.00,
2/12/2024,06:06:18,,,,40.1,40.0,0.21,39.8,40.0,0.00,
2/12/2024,06:06:24,,,,40.1,40.0,6.65,39.7,40.0,0.00,
2/12/2024,06:06:30,,,,39.8,40.0,3.54,39.5,40.0,0.00,
2/12/2024,06:06:36,,,,39.7,40.0,11.34,39.4,40.0,0.00,
2/12/2024,06:06:42,,,,39.6,40.0,8.07,39.5,40.0,0.00,
2/12/2024,06:06:48,,,,39.6,40.0,5.31,39.5,40.0,0.00,
2/12/2024,06:06:54,,,,39.6,40.0,4.60,39.5,40.0,0.00,
2/12/2024,06:07:00,,,,39.7,40.0,4.18,39.6,40.0,0.00,
2/12/2024,06:07:06,,,,39.7,40.0,6.53,39.6,40.0,0.00,
2/12/2024,06:07:12,,,,39.8,40.0,-1.24,39.6,40.0,0.00,
2/12/2024,06:07:18,,,,39.8,40.0,3.12,39.7,40.0,0.00,
2/12/2024,06:07:24,,,,39.9,40.0,-1.05,39.7,40.0,0.00,
2/12/2024,06:07:30,,,,39.9,40.0,3.41,39.8,40.0,0.00,
2/12/2024,06:07:36,,,,40.0,40.0,-4.13,39.7,40.0,0.00,
2/12/2024,06:07:42,,,,39.9,40.0,11.68,39.7,40.0,0.00,
2/12/2024,06:07:48,,,,39.9,40.0,2.92,39.6,40.0,0.00,
2/12/2024,06:07:54,,,,39.8,40.0,6.93,39.6,40.0,0.00,
2/12/2024,06:08:00,,,,39.8,40.0,2.28,39.6,40.0,0.00,
2/12/2024,06:08:06,,,,39.9,40.0,-2.19,39.7,40.0,0.00,
2/12/2024,06:08:12,,,,39.9,40.0,3.64,39.7,40.0,0.00,
2/12/2024,06:08:18,,,,39.9,40.0,10.22,39.7,40.0,0.00,
2/12/2024,06:08:24,,,,40.0,40.0,0.15,39.7,40.0,0.00,
2/12/2024,06:08:30,,,,40.1,40.0,-0.99,39.8,40.0,0.00,
2/12/2024,06:08:36,,,,40.2,40.0,2.66,39.8,40.0,0.00,
2/12/2024,06:08:42,,,,40.1,40.0,7.11,39.7,40.0,0.00,
2/12/2024,06:08:48,,,,40.1,40.0,1.14,39.6,40.0,0.00,
2/12/2024,06:08:54,,,,39.9,40.0,8.35,39.7,40.0,0.00,
2/12/2024,06:09:00,,,,40.0,40.0,1.39,39.7,40.0,0.00,
2/12/2024,06:09:06,,,,39.9,40.0,5.95,39.7,40.0,0.00,
2/12/2024,06:09:12,,,,39.9,40.0,0.13,39.6,40.0,0.00,
2/12/2024,06:09:18,,,,39.9,40.0,2.60,39.7,40.0,0.00,
2/12/2024,06:09:24,,,,39.9,40.0,3.75,39.7,40.0,0.00,
2/12/2024,06:09:30,,,,40.0,40.0,-0.98,39.7,40.0,0.00,
2/12/2024,06:09:36,,,,40.0,40.0,4.42,39.7,40.0,0.00,
2/12/2024,06:09:42,,,,39.9,40.0,8.22,39.6,40.0,0.00,
2/12/2024,06:09:48,,,,39.8,40.0,4.92,39.6,40.0,0.00,
2/12/2024,06:09:54,,,,39.8,40.0,5.15,39.6,40.0,0.00,
2/12/2024,06:10:00,,,,39.8,40.0,5.15,39.6,40.0,0.00,
2/12/2024,06:10:06,,,,39.9,40.0,-1.51,39.7,40.0,0.00,
2/12/2024,06:10:12,,,,39.9,40.0,2.03,39.7,40.0,0.00,
2/12/2024,06:10:18,,,,40.0,40.0,-0.67,39.8,40.0,0.00,
2/12/2024,06:10:24,,,,40.1,40.0,2.73,39.7,40.0,0.00,
2/12/2024,06:10:30,,,,40.0,40.0,4.45,39.7,40.0,0.00,
2/12/2024,06:10:36,,,,40.1,40.0,8.23,39.8,40.0,0.00,
2/12/2024,06:10:42,,,,40.1,40.0,3.74,39.8,40.0,0.00,
