DateTime,CSZ System,TEMPERATURE PV,TEMPERATURE SP,TEMPERATURE %Out,PRODUCT PV,PRODUCT SP,PRODUCT %Out,
6/24/2024 17:43:46,,11.8,45.0,0.00,0.0,0.0,0.00,
6/24/2024 17:43:52,,11.7,45.0,100.00,10.9,45.0,0.00,
6/24/2024 17:43:58,,11.7,45.0,100.00,11.0,45.0,0.00,
6/24/2024 17:44:04,,11.8,45.0,100.00,11.1,45.0,0.00,
6/24/2024 17:44:10,,12.0,45.0,100.00,11.4,45.0,0.00,
6/24/2024 17:44:16,,12.3,45.0,100.00,11.7,45.0,0.00,
6/24/2024 17:44:22,,12.8,45.0,100.00,11.9,45.0,0.00,
6/24/2024 17:44:28,,13.1,45.0,100.00,12.2,45.0,0.00,
6/24/2024 17:44:34,,13.6,45.0,100.00,12.6,45.0,0.00,
6/24/2024 17:44:40,,14.2,45.0,100.00,12.9,45.0,0.00,
6/24/2024 17:44:46,,14.8,45.0,100.00,13.4,45.0,0.00,
6/24/2024 17:44:52,,15.7,45.0,100.00,13.9,45.0,0.00,
6/24/2024 17:44:58,,16.4,45.0,100.00,14.5,45.0,0.00,
6/24/2024 17:45:04,,17.3,45.0,100.00,15.1,45.0,0.00,
6/24/2024 17:45:10,,18.2,45.0,100.00,15.7,45.0,0.00,
6/24/2024 17:45:16,,19.3,45.0,100.00,16.4,45.0,0.00,
6/24/2024 17:45:22,,20.2,45.0,100.00,17.0,45.0,0.00,
6/24/2024 17:45:28,,21.1,25.0,31.90,17.6,25.0,0.00,
6/24/2024 17:45:34,,22.2,25.0,29.95,18.1,25.0,0.00,
6/24/2024 17:45:40,,23.1,25.0,21.00,18.8,25.0,0.00,
6/24/2024 17:45:46,,24.0,25.0,25.11,19.3,25.0,0.00,
6/24/2024 17:45:52,,24.8,25.0,18.48,19.7,25.0,0.00,
6/24/2024 17:45:58,,25.6,25.0,11.10,20.2,25.0,0.00,
6/24/2024 17:46:04,,26.2,25.0,8.32,20.6,25.0,0.00,
6/24/2024 17:46:10,,26.7,25.0,6.27,20.8,25.0,0.00,
6/24/2024 17:46:16,,27.2,25.0,10.28,21.0,25.0,0.00,
6/24/2024 17:46:22,,27.5,25.0,2.97,21.3,25.0,0.00,
6/24/2024 17:46:28,,27.9,25.0,-2.97,21.6,25.0,0.00,
