Current, Voltage, Capacity, Cumulative_capacity, Seconds, Test_State, SOC
-5.32392,2.95028,0,0,07/18/2024 11:26:08.334543960,1,-1
-5.30629,2.95027,-1.59709,-1.59709,07/18/2024 11:26:09.418072240,1,-1.07363
-5.30337,2.95027,-1.59619,-3.19328,07/18/2024 11:26:10.501590260,1,-1.14722
-5.28485,2.95026,-1.59066,-4.78394,07/18/2024 11:26:11.585132260,1,-1.22056
-5.26969,2.95026,-1.58614,-6.37008,07/18/2024 11:26:12.668705660,1,-1.29369
-5.25557,2.95026,-1.58186,-7.95194,07/18/2024 11:26:13.752263000,1,-1.36662
-5.24044,2.95027,-1.57726,-9.5292,07/18/2024 11:26:14.835789420,1,-1.43934
-5.22683,2.95027,-1.57325,-11.1025,07/18/2024 11:26:15.919374480,1,-1.51187
-5.21306,2.95027,-1.56903,-12.6715,07/18/2024 11:26:17.002905200,1,-1.58421
-5.20091,2.95026,-1.56534,-14.2368,07/18/2024 11:26:18.086410160,1,-1.65638
-5.18636,2.95025,-1.56096,-15.7978,07/18/2024 11:26:19.169915860,1,-1.72834
-5.17388,2.95026,-1.55723,-17.355,07/18/2024 11:26:20.253441920,1,-1.80014
-5.16192,2.95025,-1.55362,-18.9086,07/18/2024 11:26:21.336959580,1,-1.87177
-5.15153,2.95026,-1.55051,-20.4591,07/18/2024 11:26:22.420491080,1,-1.94325
-5.14038,2.95025,-1.54714,-22.0063,07/18/2024 11:26:23.504009420,1,-2.01458
-5.12903,2.95026,-1.54373,-23.55,07/18/2024 11:26:24.587535580,1,-2.08575
-5.11791,2.95026,-1.54037,-25.0904,07/18/2024 11:26:25.671047640,1,-2.15677
-5.10698,2.95026,-1.5371,-26.6275,07/18/2024 11:26:26.754578460,1,-2.22764
-5.09619,2.95026,-1.53384,-28.1613,07/18/2024 11:26:27.838096520,1,-2.29836
-5.08566,2.95025,-1.53067,-29.692,07/18/2024 11:26:28.921614580,1,-2.36893
-5.07595,2.95025,-1.52776,-31.2198,07/18/2024 11:26:30.005144680,1,-2.43936
-5.06618,2.95026,-1.52483,-32.7446,07/18/2024 11:26:31.088680440,1,-2.50966
-5.05675,2.95026,-1.52196,-34.2665,07/18/2024 11:26:32.172196500,1,-2.57983
-5.04796,2.95026,-1.51934,-35.7859,07/18/2024 11:26:33.255730160,1,-2.64988
-5.03873,2.95026,-1.51653,-37.3024,07/18/2024 11:26:34.339239600,1,-2.7198
-5.02981,2.95026,-1.51383,-38.8162,07/18/2024 11:26:35.422735160,1,-2.78959
-5.02131,2.95025,-1.51131,-40.3276,07/18/2024 11:26:36.506263300,1,-2.85927
-5.01688,2.95025,-1.51009,-41.8377,07/18/2024 11:26:37.589871560,1,-2.92889
-5.00856,2.95025,-1.50751,-43.3452,07/18/2024 11:26:38.673425500,1,-2.99839
-4.99976,2.95025,-1.50487,-44.85,07/18/2024 11:26:39.756984680,1,-3.06778
-4.99267,2.95025,-1.50274,-46.3528,07/18/2024 11:26:40.840543020,1,-3.13706
-4.9859,2.95025,-1.50066,-47.8534,07/18/2024 11:26:41.924072260,1,-3.20624
-4.97978,2.95025,-1.49882,-49.3523,07/18/2024 11:26:43.007607240,1,-3.27535
-4.97229,2.95026,-1.4966,-50.8489,07/18/2024 11:26:44.091167260,1,-3.34435
-4.96452,2.95025,-1.49425,-52.3431,07/18/2024 11:26:45.174714500,1,-3.41324
-4.95713,2.95025,-1.49203,-53.8351,07/18/2024 11:26:46.258267060,1,-3.48203
-4.94964,2.95025,-1.48977,-55.3249,07/18/2024 11:26:47.341813340,1,-3.55071
-4.94227,2.95025,-1.48752,-56.8124,07/18/2024 11:26:48.425338520,1,-3.61929
-4.93402,2.95025,-1.48507,-58.2975,07/18/2024 11:26:49.508884060,1,-3.68776
-4.9262,2.95024,-1.48276,-59.7803,07/18/2024 11:26:50.592466420,1,-3.75612
-4.9195,2.95024,-1.48069,-61.2609,07/18/2024 11:26:51.676006580,1,-3.82439
-4.91233,2.95025,-1.47855,-62.7395,07/18/2024 11:26:52.759558560,1,-3.89255
-4.90496,2.95025,-1.4763,-64.2158,07/18/2024 11:26:53.843091280,1,-3.96062
-4.89749,2.95025,-1.47406,-65.6899,07/18/2024 11:26:54.926630060,1,-4.02858
-4.89081,2.95025,-1.47205,-67.1619,07/18/2024 11:26:56.010171400,1,-4.09645
-4.88495,2.95025,-1.47025,-68.6322,07/18/2024 11:26:57.093684140,1,-4.16423
-4.8779,2.95025,-1.46816,-70.1003,07/18/2024 11:26:58.177221140,1,-4.23192
-4.87197,2.95025,-1.46645,-71.5668,07/18/2024 11:26:59.260813220,1,-4.29953
-4.8659,2.95025,-1.46455,-73.0313,07/18/2024 11:27:00.344348540,1,-4.36705
-4.85961,2.95024,-1.46263,-74.494,07/18/2024 11:27:01.427864040,1,-4.43448
-4.85327,2.95024,-1.46074,-75.9547,07/18/2024 11:27:02.511396440,1,-4.50183
-4.84809,2.95025,-1.45917,-77.4139,07/18/2024 11:27:03.594919100,1,-4.5691
-4.84297,2.95024,-1.45764,-78.8715,07/18/2024 11:27:04.678451460,1,-4.63631
-4.8383,2.95025,-1.457,-80.3285,07/18/2024 11:27:05.762551600,1,-4.70348
-4.83345,2.95025,-1.45479,-81.7833,07/18/2024 11:27:06.846096360,1,-4.77055
-4.82842,2.95024,-1.45327,-83.2366,07/18/2024 11:27:07.929632640,1,-4.83756
-4.82294,2.95025,-1.45161,-84.6882,07/18/2024 11:27:09.013160980,1,-4.90448
-4.81773,2.95025,-1.45002,-86.1382,07/18/2024 11:27:10.096673760,1,-4.97133
-4.81285,2.95025,-1.44858,-87.5868,07/18/2024 11:27:11.180205000,1,-5.03812
-4.80818,2.95025,-1.44717,-89.0339,07/18/2024 11:27:12.263734360,1,-5.10484
-4.80361,2.95024,-1.44581,-90.4798,07/18/2024 11:27:13.347277840,1,-5.1715
-4.79838,2.95024,-1.44421,-91.924,07/18/2024 11:27:14.430801120,1,-5.23808
-4.7929,2.95024,-1.4426,-93.3666,07/18/2024 11:27:15.514351180,1,-5.30459
-4.78773,2.95024,-1.44101,-94.8076,07/18/2024 11:27:16.597881040,1,-5.37103
-4.78205,2.95025,-1.4394,-96.247,07/18/2024 11:27:17.681480160,1,-5.43739
-4.77724,2.95024,-1.43788,-97.6848,07/18/2024 11:27:18.765023400,1,-5.50368
-4.77314,2.95024,-1.43663,-99.1215,07/18/2024 11:27:19.848563500,1,-5.56992
-4.7688,2.95025,-1.4353,-100.557,07/18/2024 11:27:20.932082240,1,-5.63609
-4.76408,2.95024,-1.4339,-101.991,07/18/2024 11:27:22.015616740,1,-5.7022
-4.75936,2.95025,-1.43247,-103.423,07/18/2024 11:27:23.099139480,1,-5.76824
-4.75425,2.95024,-1.43094,-104.854,07/18/2024 11:27:24.182672240,1,-5.83421
-4.74954,2.95025,-1.42954,-106.284,07/18/2024 11:27:25.266216200,1,-5.90012
-4.74449,2.95024,-1.42804,-107.712,07/18/2024 11:27:26.349780200,1,-5.96596
-4.74027,2.95024,-1.42675,-109.138,07/18/2024 11:27:27.433326520,1,-6.03174
-4.73609,2.95024,-1.42548,-110.564,07/18/2024 11:27:28.516867160,1,-6.09746
-4.73235,2.95025,-1.42434,-111.988,07/18/2024 11:27:29.600393480,1,-6.16313
-4.72795,2.95024,-1.42302,-113.411,07/18/2024 11:27:30.683925260,1,-6.22874
-4.72373,2.95025,-1.42175,-114.833,07/18/2024 11:27:31.767456940,1,-6.29428
-4.71931,2.95024,-1.42043,-116.253,07/18/2024 11:27:32.850996720,1,-6.35977
-4.71492,2.95024,-1.41911,-117.673,07/18/2024 11:27:33.934538120,1,-6.4252
-4.71111,2.95024,-1.41794,-119.091,07/18/2024 11:27:35.018061500,1,-6.49057
-4.70684,2.95024,-1.41667,-120.507,07/18/2024 11:27:36.101595640,1,-6.55589
-4.7028,2.95025,-1.41544,-121.923,07/18/2024 11:27:37.185113120,1,-6.62114
-4.69868,2.95024,-1.41421,-123.337,07/18/2024 11:27:38.268639500,1,-6.68635
-4.69443,2.95024,-1.41299,-124.75,07/18/2024 11:27:39.352215320,1,-6.75149
-4.68984,2.95024,-1.41159,-126.161,07/18/2024 11:27:40.435774840,1,-6.81657
-4.6864,2.95024,-1.4105,-127.572,07/18/2024 11:27:41.519295360,1,-6.8816
-4.68279,2.95024,-1.40943,-128.981,07/18/2024 11:27:42.602823760,1,-6.94658
-4.67971,2.95024,-1.40852,-130.39,07/18/2024 11:27:43.686367840,1,-7.01152
-4.67598,2.95024,-1.40741,-131.797,07/18/2024 11:27:44.769919740,1,-7.07641
-4.67229,2.95024,-1.40626,-133.204,07/18/2024 11:27:45.853444160,1,-7.14124
-4.66845,2.95024,-1.40511,-134.609,07/18/2024 11:27:46.936976080,1,-7.20602
-4.66466,2.95025,-1.40399,-136.013,07/18/2024 11:27:48.020518180,1,-7.27075
-4.66092,2.95024,-1.40283,-137.415,07/18/2024 11:27:49.104037420,1,-7.33543
-4.64746,2.95024,-1.39877,-138.814,07/18/2024 11:27:50.187551340,1,-7.39992
-4.64395,2.95024,-1.39775,-140.212,07/18/2024 11:27:51.271089620,1,-7.46436
-4.64058,2.95024,-1.39671,-141.609,07/18/2024 11:27:52.354609840,1,-7.52876
-4.63603,2.95024,-1.39536,-143.004,07/18/2024 11:27:53.438141700,1,-7.59309
