temperature,r_min,r_center,r_max,r_pdelta,r_ndelta,t_pdelta,t_ndelta
-55,10477.600,11093.800,11745.000,5.869,-5.553,0.729,-0.690
-54,9600.550,10156.100,10742.700,5.776,-5.470,0.725,-0.687
-53,8809.950,9311.690,9841.020,5.684,-5.388,0.722,-0.684
-52,8096.030,8549.810,9028.120,5.594,-5.307,0.718,-0.681
-51,7450.220,7861.200,8294.020,5.505,-5.227,0.714,-0.678
-50,6865.020,7237.730,7629.920,5.418,-5.149,0.710,-0.675
-49,6333.860,6672.310,7028.140,5.332,-5.072,0.706,-0.671
-48,5850.990,6158.700,6481.950,5.248,-4.996,0.702,-0.668
-47,5411.340,5691.440,5985.430,5.165,-4.921,0.698,-0.665
-46,5010.440,5265.690,5533.390,5.083,-4.847,0.693,-0.661
-45,4644.340,4877.200,5121.230,5.003,-4.774,0.689,-0.657
-44,4309.570,4522.230,4744.900,4.924,-4.702,0.685,-0.654
-43,4003.020,4197.420,4400.820,4.845,-4.631,0.680,-0.650
-42,3721.950,3899.830,4085.810,4.768,-4.561,0.676,-0.646
-41,3463.920,3626.830,3797.030,4.692,-4.491,0.671,-0.642
-40,3226.740,3376.080,3531.980,4.617,-4.423,0.666,-0.638
-39,3008.480,3145.490,3288.420,4.543,-4.355,0.662,-0.634
-38,2807.390,2933.200,3064.330,4.470,-4.289,0.657,-0.630
-37,2621.920,2737.530,2857.940,4.398,-4.222,0.652,-0.626
-36,2450.670,2556.980,2667.630,4.327,-4.157,0.647,-0.622
-35,2292.390,2390.220,2491.970,4.257,-4.092,0.642,-0.618
-34,2145.940,2236.030,2329.670,4.187,-4.028,0.637,-0.613
-33,2010.310,2093.330,2179.550,4.118,-3.965,0.632,-0.609
-32,1884.580,1961.130,2040.570,4.051,-3.902,0.627,-0.604
-31,1767.930,1838.540,1911.790,3.983,-3.840,0.622,-0.599
-30,1659.590,1724.780,1792.340,3.917,-3.779,0.617,-0.595
-29,1558.890,1619.100,1681.460,3.851,-3.718,0.611,-0.590
-28,1465.210,1520.850,1578.440,3.786,-3.658,0.606,-0.585
-27,1378.000,1429.440,1482.650,3.722,-3.598,0.600,-0.580
-26,1296.740,1344.320,1393.510,3.658,-3.539,0.595,-0.575
-25,1220.960,1265.000,1310.480,3.595,-3.480,0.589,-0.570
-24,1150.260,1191.020,1233.100,3.533,-3.422,0.584,-0.565
-23,1084.220,1121.980,1160.930,3.471,-3.364,0.578,-0.560
-22,1022.520,1057.500,1093.560,3.410,-3.307,0.572,-0.555
-21,964.822,997.241,1030.640,3.349,-3.250,0.566,-0.549
-20,910.828,940.885,971.837,3.289,-3.194,0.560,-0.544
-19,860.271,888.148,916.835,3.230,-3.138,0.554,-0.539
-18,812.903,838.764,865.362,3.171,-3.083,0.548,-0.533
-17,768.495,792.494,817.161,3.112,-3.028,0.542,-0.527
-16,726.839,749.115,771.996,3.054,-2.973,0.536,-0.522
-15,687.740,708.422,729.653,2.996,-2.919,0.530,-0.516
-14,651.022,670.228,689.932,2.939,-2.865,0.523,-0.510
-13,616.520,634.359,652.649,2.883,-2.812,0.517,-0.504
-12,584.084,600.657,617.638,2.827,-2.759,0.511,-0.498
-11,553.574,568.973,584.741,2.771,-2.706,0.504,-0.492
-10,524.861,539.171,553.816,2.716,-2.654,0.497,-0.486
-9,497.827,511.127,524.729,2.661,-2.602,0.491,-0.480
-8,472.360,484.723,497.358,2.606,-2.550,0.484,-0.474
